venta_id,timestamp,timestamp_iso,producto_id,producto,cantidad,precio_unitario,total,descuento,total_neto,monto_descuento
183,2026-04-18 08:33:41+00:00,2026-04-18T08:33:41Z,P008,Jugo,3,2.9,8.7,0.18,7.13,1.57
1121,2026-04-18 08:33:42+00:00,2026-04-18T08:33:42Z,P004,Huevos,2,3.9,7.8,0.16,6.55,1.25
804,2026-04-18 08:34:40+00:00,2026-04-18T08:34:40Z,P008,Jugo,3,2.9,8.7,0.03,8.44,0.26
184,2026-04-18 08:37:27+00:00,2026-04-18T08:37:27Z,P008,Jugo,4,2.9,11.6,0.17,9.63,1.97
139,2026-04-18 08:37:44+00:00,2026-04-18T08:37:44Z,P004,Huevos,1,3.9,3.9,0.2,3.12,0.78
402,2026-04-18 08:38:09+00:00,2026-04-18T08:38:09Z,P006,Queso,3,4.5,13.5,0.13,11.74,1.76
969,2026-04-18 08:38:45+00:00,2026-04-18T08:38:45Z,P002,Pan,2,1.2,2.4,0.07,2.23,0.17
378,2026-04-18 08:39:18+00:00,2026-04-18T08:39:18Z,P008,Jugo,1,2.9,2.9,0.11,2.58,0.32
296,2026-04-18 08:39:29+00:00,2026-04-18T08:39:29Z,P006,Queso,1,4.5,4.5,0.03,4.36,0.14
1149,2026-04-18 08:39:47+00:00,2026-04-18T08:39:47Z,P004,Huevos,1,3.9,3.9,0.0,3.9,0.0
973,2026-04-18 08:40:32+00:00,2026-04-18T08:40:32Z,P001,Café,3,2.5,7.5,0.19,6.08,1.42
250,2026-04-18 08:40:38+00:00,2026-04-18T08:40:38Z,P001,Café,1,2.5,2.5,0.13,2.17,0.33
919,2026-04-18 08:40:49+00:00,2026-04-18T08:40:49Z,P004,Huevos,3,3.9,11.7,0.11,10.41,1.29
72,2026-04-18 08:40:54+00:00,2026-04-18T08:40:54Z,P005,Arroz,1,2.1,2.1,0.19,1.7,0.4
700,2026-04-18 08:41:28+00:00,2026-04-18T08:41:28Z,P003,Leche,1,1.8,1.8,0.09,1.64,0.16
1141,2026-04-18 08:41:54+00:00,2026-04-18T08:41:54Z,P001,Café,2,2.5,5.0,0.17,4.15,0.85
98,2026-04-18 08:42:24+00:00,2026-04-18T08:42:24Z,P003,Leche,2,1.8,3.6,0.17,2.99,0.61
584,2026-04-18 08:42:27+00:00,2026-04-18T08:42:27Z,P007,Galletas,1,1.6,1.6,0.04,1.54,0.06
903,2026-04-18 08:43:04+00:00,2026-04-18T08:43:04Z,P003,Leche,4,1.8,7.2,0.05,6.84,0.36
331,2026-04-18 08:43:36+00:00,2026-04-18T08:43:36Z,P008,Jugo,1,2.9,2.9,0.06,2.73,0.17
530,2026-04-18 08:43:52+00:00,2026-04-18T08:43:52Z,P002,Pan,2,1.2,2.4,0.05,2.28,0.12
135,2026-04-18 08:44:16+00:00,2026-04-18T08:44:16Z,P006,Queso,1,4.5,4.5,0.12,3.96,0.54
756,2026-04-18 08:44:42+00:00,2026-04-18T08:44:42Z,P002,Pan,1,1.2,1.2,0.05,1.14,0.06
327,2026-04-18 08:44:49+00:00,2026-04-18T08:44:49Z,P003,Leche,2,1.8,3.6,0.08,3.31,0.29
62,2026-04-18 08:45:20+00:00,2026-04-18T08:45:20Z,P004,Huevos,1,3.9,3.9,0.03,3.78,0.12
547,2026-04-18 08:45:50+00:00,2026-04-18T08:45:50Z,P003,Leche,2,1.8,3.6,0.18,2.95,0.65
1091,2026-04-18 08:46:02+00:00,2026-04-18T08:46:02Z,P002,Pan,1,1.2,1.2,0.07,1.12,0.08
15,2026-04-18 08:46:15+00:00,2026-04-18T08:46:15Z,P003,Leche,1,1.8,1.8,0.09,1.64,0.16
507,2026-04-18 08:47:07+00:00,2026-04-18T08:47:07Z,P008,Jugo,3,2.9,8.7,0.12,7.66,1.04
1026,2026-04-18 08:47:15+00:00,2026-04-18T08:47:15Z,P005,Arroz,1,2.1,2.1,0.18,1.72,0.38
1074,2026-04-18 08:47:41+00:00,2026-04-18T08:47:41Z,P007,Galletas,3,1.6,4.8,0.08,4.42,0.38
505,2026-04-18 08:48:37+00:00,2026-04-18T08:48:37Z,P004,Huevos,1,3.9,3.9,0.18,3.2,0.7
284,2026-04-18 08:48:39+00:00,2026-04-18T08:48:39Z,P001,Café,2,2.5,5.0,0.1,4.5,0.5
1096,2026-04-18 08:49:05+00:00,2026-04-18T08:49:05Z,P004,Huevos,1,3.9,3.9,0.11,3.47,0.43
300,2026-04-18 08:49:22+00:00,2026-04-18T08:49:22Z,P006,Queso,2,4.5,9.0,0.1,8.1,0.9
954,2026-04-18 08:49:37+00:00,2026-04-18T08:49:37Z,P005,Arroz,1,2.1,2.1,0.0,2.1,0.0
100,2026-04-18 08:50:37+00:00,2026-04-18T08:50:37Z,P006,Queso,1,4.5,4.5,0.09,4.1,0.4
818,2026-04-18 08:50:48+00:00,2026-04-18T08:50:48Z,P002,Pan,1,1.2,1.2,0.04,1.15,0.05
109,2026-04-18 08:51:44+00:00,2026-04-18T08:51:44Z,P008,Jugo,1,2.9,2.9,0.0,2.9,0.0
718,2026-04-18 08:51:56+00:00,2026-04-18T08:51:56Z,P008,Jugo,1,2.9,2.9,0.16,2.44,0.46
881,2026-04-18 08:52:08+00:00,2026-04-18T08:52:08Z,P002,Pan,1,1.2,1.2,0.03,1.16,0.04
86,2026-04-18 08:52:58+00:00,2026-04-18T08:52:58Z,P008,Jugo,1,2.9,2.9,0.09,2.64,0.26
937,2026-04-18 08:53:16+00:00,2026-04-18T08:53:16Z,P004,Huevos,1,3.9,3.9,0.15,3.32,0.58
487,2026-04-18 08:56:46+00:00,2026-04-18T08:56:46Z,P002,Pan,1,1.2,1.2,0.11,1.07,0.13
434,2026-04-18 08:58:34+00:00,2026-04-18T08:58:34Z,P006,Queso,1,4.5,4.5,0.07,4.18,0.32
960,2026-04-18 08:58:50+00:00,2026-04-18T08:58:50Z,P006,Queso,1,4.5,4.5,0.1,4.05,0.45
827,2026-04-18 08:58:58+00:00,2026-04-18T08:58:58Z,P007,Galletas,1,1.6,1.6,0.11,1.42,0.18
1186,2026-04-18 09:01:22+00:00,2026-04-18T09:01:22Z,P002,Pan,2,1.2,2.4,0.16,2.02,0.38
1095,2026-04-18 09:02:37+00:00,2026-04-18T09:02:37Z,P008,Jugo,2,2.9,5.8,0.02,5.68,0.12
56,2026-04-18 09:03:37+00:00,2026-04-18T09:03:37Z,P001,Café,2,2.5,5.0,0.11,4.45,0.55
907,2026-04-18 09:03:49+00:00,2026-04-18T09:03:49Z,P005,Arroz,1,2.1,2.1,0.05,2.0,0.1
687,2026-04-18 09:04:12+00:00,2026-04-18T09:04:12Z,P003,Leche,2,1.8,3.6,0.06,3.38,0.22
663,2026-04-18 09:04:16+00:00,2026-04-18T09:04:16Z,P002,Pan,1,1.2,1.2,0.15,1.02,0.18
388,2026-04-18 09:04:28+00:00,2026-04-18T09:04:28Z,P008,Jugo,2,2.9,5.8,0.1,5.22,0.58
824,2026-04-18 09:04:52+00:00,2026-04-18T09:04:52Z,P001,Café,1,2.5,2.5,0.11,2.22,0.28
366,2026-04-18 09:05:20+00:00,2026-04-18T09:05:20Z,P005,Arroz,1,2.1,2.1,0.15,1.78,0.32
339,2026-04-18 09:05:23+00:00,2026-04-18T09:05:23Z,P004,Huevos,1,3.9,3.9,0.18,3.2,0.7
748,2026-04-18 09:06:03+00:00,2026-04-18T09:06:03Z,P007,Galletas,2,1.6,3.2,0.09,2.91,0.29
742,2026-04-18 09:06:04+00:00,2026-04-18T09:06:04Z,P006,Queso,1,4.5,4.5,0.12,3.96,0.54
548,2026-04-18 09:06:05+00:00,2026-04-18T09:06:05Z,P001,Café,4,2.5,10.0,0.1,9.0,1.0
665,2026-04-18 09:06:57+00:00,2026-04-18T09:06:57Z,P002,Pan,1,1.2,1.2,0.1,1.08,0.12
290,2026-04-18 09:07:00+00:00,2026-04-18T09:07:00Z,P008,Jugo,2,2.9,5.8,0.14,4.99,0.81
689,2026-04-18 09:07:34+00:00,2026-04-18T09:07:34Z,P006,Queso,4,4.5,18.0,0.09,16.38,1.62
249,2026-04-18 09:07:54+00:00,2026-04-18T09:07:54Z,P008,Jugo,1,2.9,2.9,0.11,2.58,0.32
707,2026-04-18 09:08:26+00:00,2026-04-18T09:08:26Z,P004,Huevos,2,3.9,7.8,0.1,7.02,0.78
257,2026-04-18 09:08:47+00:00,2026-04-18T09:08:47Z,P007,Galletas,1,1.6,1.6,0.19,1.3,0.3
1082,2026-04-18 09:09:00+00:00,2026-04-18T09:09:00Z,P008,Jugo,1,2.9,2.9,0.14,2.49,0.41
726,2026-04-18 09:10:46+00:00,2026-04-18T09:10:46Z,P007,Galletas,2,1.6,3.2,0.18,2.62,0.58
82,2026-04-18 09:10:51+00:00,2026-04-18T09:10:51Z,P003,Leche,3,1.8,5.4,0.19,4.37,1.03
694,2026-04-18 09:11:01+00:00,2026-04-18T09:11:01Z,P007,Galletas,3,1.6,4.8,0.05,4.56,0.24
302,2026-04-18 09:11:38+00:00,2026-04-18T09:11:38Z,P003,Leche,2,1.8,3.6,0.11,3.2,0.4
730,2026-04-18 09:11:46+00:00,2026-04-18T09:11:46Z,P001,Café,4,2.5,10.0,0.19,8.1,1.9
512,2026-04-18 09:13:23+00:00,2026-04-18T09:13:23Z,P006,Queso,1,4.5,4.5,0.17,3.74,0.76
491,2026-04-18 09:13:48+00:00,2026-04-18T09:13:48Z,P001,Café,1,2.5,2.5,0.03,2.42,0.08
289,2026-04-18 09:13:49+00:00,2026-04-18T09:13:49Z,P003,Leche,2,1.8,3.6,0.02,3.53,0.07
711,2026-04-18 09:14:01+00:00,2026-04-18T09:14:01Z,P005,Arroz,1,2.1,2.1,0.09,1.91,0.19
288,2026-04-18 09:14:25+00:00,2026-04-18T09:14:25Z,P001,Café,1,2.5,2.5,0.01,2.48,0.02
945,2026-04-18 09:14:45+00:00,2026-04-18T09:14:45Z,P007,Galletas,1,1.6,1.6,0.05,1.52,0.08
592,2026-04-18 09:15:19+00:00,2026-04-18T09:15:19Z,P002,Pan,1,1.2,1.2,0.01,1.19,0.01
736,2026-04-18 09:15:44+00:00,2026-04-18T09:15:44Z,P002,Pan,1,1.2,1.2,0.13,1.04,0.16
959,2026-04-18 09:16:23+00:00,2026-04-18T09:16:23Z,P004,Huevos,1,3.9,3.9,0.16,3.28,0.62
174,2026-04-18 09:16:50+00:00,2026-04-18T09:16:50Z,P004,Huevos,1,3.9,3.9,0.18,3.2,0.7
1037,2026-04-18 09:17:30+00:00,2026-04-18T09:17:30Z,P006,Queso,1,4.5,4.5,0.03,4.36,0.14
1022,2026-04-18 09:18:05+00:00,2026-04-18T09:18:05Z,P007,Galletas,2,1.6,3.2,0.14,2.75,0.45
1062,2026-04-18 09:18:28+00:00,2026-04-18T09:18:28Z,P003,Leche,1,1.8,1.8,0.13,1.57,0.23
1069,2026-04-18 09:19:00+00:00,2026-04-18T09:19:00Z,P001,Café,1,2.5,2.5,0.03,2.42,0.08
345,2026-04-18 09:19:07+00:00,2026-04-18T09:19:07Z,P001,Café,1,2.5,2.5,0.18,2.05,0.45
856,2026-04-18 09:20:00+00:00,2026-04-18T09:20:00Z,P004,Huevos,4,3.9,15.6,0.19,12.64,2.96
188,2026-04-18 09:20:07+00:00,2026-04-18T09:20:07Z,P007,Galletas,3,1.6,4.8,0.04,4.61,0.19
734,2026-04-18 09:20:10+00:00,2026-04-18T09:20:10Z,P002,Pan,3,1.2,3.6,0.19,2.92,0.68
502,2026-04-18 09:21:41+00:00,2026-04-18T09:21:41Z,P002,Pan,4,1.2,4.8,0.08,4.42,0.38
528,2026-04-18 09:22:17+00:00,2026-04-18T09:22:17Z,P007,Galletas,1,1.6,1.6,0.1,1.44,0.16
332,2026-04-18 09:24:32+00:00,2026-04-18T09:24:32Z,P007,Galletas,4,1.6,6.4,0.2,5.12,1.28
849,2026-04-18 09:24:44+00:00,2026-04-18T09:24:44Z,P008,Jugo,2,2.9,5.8,0.17,4.81,0.99
1087,2026-04-18 09:24:53+00:00,2026-04-18T09:24:53Z,P001,Café,1,2.5,2.5,0.03,2.42,0.08
122,2026-04-18 09:24:54+00:00,2026-04-18T09:24:54Z,P007,Galletas,1,1.6,1.6,0.09,1.46,0.14
406,2026-04-18 09:24:55+00:00,2026-04-18T09:24:55Z,P007,Galletas,1,1.6,1.6,0.1,1.44,0.16
1145,2026-04-18 09:25:09+00:00,2026-04-18T09:25:09Z,P003,Leche,1,1.8,1.8,0.07,1.67,0.13
558,2026-04-18 09:25:21+00:00,2026-04-18T09:25:21Z,P007,Galletas,3,1.6,4.8,0.04,4.61,0.19
359,2026-04-18 09:25:52+00:00,2026-04-18T09:25:52Z,P008,Jugo,1,2.9,2.9,0.06,2.73,0.17
1150,2026-04-18 09:27:20+00:00,2026-04-18T09:27:20Z,P002,Pan,1,1.2,1.2,0.14,1.03,0.17
544,2026-04-18 09:28:31+00:00,2026-04-18T09:28:31Z,P004,Huevos,1,3.9,3.9,0.0,3.9,0.0
1064,2026-04-18 09:30:29+00:00,2026-04-18T09:30:29Z,P005,Arroz,1,2.1,2.1,0.11,1.87,0.23
134,2026-04-18 09:30:42+00:00,2026-04-18T09:30:42Z,P002,Pan,2,1.2,2.4,0.09,2.18,0.22
124,2026-04-18 09:31:01+00:00,2026-04-18T09:31:01Z,P007,Galletas,1,1.6,1.6,0.0,1.6,0.0
785,2026-04-18 09:31:38+00:00,2026-04-18T09:31:38Z,P008,Jugo,1,2.9,2.9,0.07,2.7,0.2
1171,2026-04-18 09:32:17+00:00,2026-04-18T09:32:17Z,P001,Café,2,2.5,5.0,0.12,4.4,0.6
574,2026-04-18 09:32:47+00:00,2026-04-18T09:32:47Z,P004,Huevos,1,3.9,3.9,0.1,3.51,0.39
794,2026-04-18 09:33:52+00:00,2026-04-18T09:33:52Z,P007,Galletas,2,1.6,3.2,0.01,3.17,0.03
394,2026-04-18 09:34:05+00:00,2026-04-18T09:34:05Z,P003,Leche,2,1.8,3.6,0.2,2.88,0.72
601,2026-04-18 09:34:18+00:00,2026-04-18T09:34:18Z,P003,Leche,2,1.8,3.6,0.16,3.02,0.58
1197,2026-04-18 09:34:25+00:00,2026-04-18T09:34:25Z,P001,Café,2,2.5,5.0,0.19,4.05,0.95
963,2026-04-18 09:34:36+00:00,2026-04-18T09:34:36Z,P003,Leche,1,1.8,1.8,0.02,1.76,0.04
495,2026-04-18 09:35:37+00:00,2026-04-18T09:35:37Z,P003,Leche,2,1.8,3.6,0.05,3.42,0.18
1099,2026-04-18 09:35:50+00:00,2026-04-18T09:35:50Z,P006,Queso,3,4.5,13.5,0.01,13.36,0.14
99,2026-04-18 09:35:53+00:00,2026-04-18T09:35:53Z,P001,Café,1,2.5,2.5,0.16,2.1,0.4
1044,2026-04-18 09:35:54+00:00,2026-04-18T09:35:54Z,P001,Café,1,2.5,2.5,0.05,2.38,0.12
539,2026-04-18 09:36:15+00:00,2026-04-18T09:36:15Z,P007,Galletas,2,1.6,3.2,0.03,3.1,0.1
91,2026-04-18 09:37:16+00:00,2026-04-18T09:37:16Z,P001,Café,1,2.5,2.5,0.08,2.3,0.2
201,2026-04-18 09:37:37+00:00,2026-04-18T09:37:37Z,P008,Jugo,3,2.9,8.7,0.18,7.13,1.57
1013,2026-04-18 09:38:12+00:00,2026-04-18T09:38:12Z,P008,Jugo,4,2.9,11.6,0.16,9.74,1.86
1036,2026-04-18 09:39:55+00:00,2026-04-18T09:39:55Z,P005,Arroz,1,2.1,2.1,0.05,2.0,0.1
900,2026-04-18 09:39:55+00:00,2026-04-18T09:39:55Z,P008,Jugo,3,2.9,8.7,0.03,8.44,0.26
31,2026-04-18 09:40:32+00:00,2026-04-18T09:40:32Z,P004,Huevos,1,3.9,3.9,0.18,3.2,0.7
393,2026-04-18 09:40:35+00:00,2026-04-18T09:40:35Z,P005,Arroz,1,2.1,2.1,0.11,1.87,0.23
10,2026-04-18 09:40:39+00:00,2026-04-18T09:40:39Z,P006,Queso,2,4.5,9.0,0.14,7.74,1.26
1110,2026-04-18 09:41:20+00:00,2026-04-18T09:41:20Z,P002,Pan,1,1.2,1.2,0.02,1.18,0.02
89,2026-04-18 09:41:32+00:00,2026-04-18T09:41:32Z,P007,Galletas,2,1.6,3.2,0.01,3.17,0.03
427,2026-04-18 09:41:50+00:00,2026-04-18T09:41:50Z,P004,Huevos,2,3.9,7.8,0.14,6.71,1.09
571,2026-04-18 09:42:22+00:00,2026-04-18T09:42:22Z,P003,Leche,2,1.8,3.6,0.09,3.28,0.32
285,2026-04-18 09:42:27+00:00,2026-04-18T09:42:27Z,P008,Jugo,2,2.9,5.8,0.01,5.74,0.06
173,2026-04-18 09:45:18+00:00,2026-04-18T09:45:18Z,P008,Jugo,1,2.9,2.9,0.19,2.35,0.55
962,2026-04-18 09:45:33+00:00,2026-04-18T09:45:33Z,P005,Arroz,3,2.1,6.3,0.13,5.48,0.82
1178,2026-04-18 09:45:57+00:00,2026-04-18T09:45:57Z,P003,Leche,1,1.8,1.8,0.16,1.51,0.29
798,2026-04-18 09:45:57+00:00,2026-04-18T09:45:57Z,P005,Arroz,1,2.1,2.1,0.02,2.06,0.04
1108,2026-04-18 09:46:04+00:00,2026-04-18T09:46:04Z,P007,Galletas,1,1.6,1.6,0.17,1.33,0.27
825,2026-04-18 09:46:33+00:00,2026-04-18T09:46:33Z,P006,Queso,1,4.5,4.5,0.01,4.46,0.04
1138,2026-04-18 09:46:51+00:00,2026-04-18T09:46:51Z,P007,Galletas,1,1.6,1.6,0.17,1.33,0.27
232,2026-04-18 09:47:26+00:00,2026-04-18T09:47:26Z,P003,Leche,1,1.8,1.8,0.09,1.64,0.16
463,2026-04-18 09:48:17+00:00,2026-04-18T09:48:17Z,P006,Queso,1,4.5,4.5,0.07,4.18,0.32
895,2026-04-18 09:48:34+00:00,2026-04-18T09:48:34Z,P001,Café,1,2.5,2.5,0.11,2.22,0.28
817,2026-04-18 09:48:49+00:00,2026-04-18T09:48:49Z,P003,Leche,2,1.8,3.6,0.19,2.92,0.68
253,2026-04-18 09:49:09+00:00,2026-04-18T09:49:09Z,P001,Café,1,2.5,2.5,0.05,2.38,0.12
989,2026-04-18 09:49:14+00:00,2026-04-18T09:49:14Z,P002,Pan,1,1.2,1.2,0.03,1.16,0.04
1162,2026-04-18 09:50:44+00:00,2026-04-18T09:50:44Z,P005,Arroz,1,2.1,2.1,0.11,1.87,0.23
199,2026-04-18 09:50:54+00:00,2026-04-18T09:50:54Z,P007,Galletas,1,1.6,1.6,0.05,1.52,0.08
228,2026-04-18 09:51:22+00:00,2026-04-18T09:51:22Z,P004,Huevos,2,3.9,7.8,0.02,7.64,0.16
732,2026-04-18 09:51:39+00:00,2026-04-18T09:51:39Z,P004,Huevos,2,3.9,7.8,0.03,7.57,0.23
580,2026-04-18 09:51:45+00:00,2026-04-18T09:51:45Z,P002,Pan,1,1.2,1.2,0.01,1.19,0.01
330,2026-04-18 09:51:50+00:00,2026-04-18T09:51:50Z,P008,Jugo,3,2.9,8.7,0.04,8.35,0.35
424,2026-04-18 09:52:01+00:00,2026-04-18T09:52:01Z,P006,Queso,1,4.5,4.5,0.06,4.23,0.27
699,2026-04-18 09:52:04+00:00,2026-04-18T09:52:04Z,P001,Café,5,2.5,12.5,0.06,11.75,0.75
234,2026-04-18 09:52:30+00:00,2026-04-18T09:52:30Z,P005,Arroz,2,2.1,4.2,0.15,3.57,0.63
110,2026-04-18 09:54:07+00:00,2026-04-18T09:54:07Z,P008,Jugo,1,2.9,2.9,0.06,2.73,0.17
403,2026-04-18 09:55:22+00:00,2026-04-18T09:55:22Z,P007,Galletas,1,1.6,1.6,0.1,1.44,0.16
164,2026-04-18 09:55:30+00:00,2026-04-18T09:55:30Z,P002,Pan,3,1.2,3.6,0.04,3.46,0.14
1030,2026-04-18 09:57:56+00:00,2026-04-18T09:57:56Z,P005,Arroz,1,2.1,2.1,0.07,1.95,0.15
669,2026-04-18 09:58:46+00:00,2026-04-18T09:58:46Z,P006,Queso,1,4.5,4.5,0.0,4.5,0.0
73,2026-04-18 09:58:54+00:00,2026-04-18T09:58:54Z,P001,Café,1,2.5,2.5,0.05,2.38,0.12
16,2026-04-18 09:59:40+00:00,2026-04-18T09:59:40Z,P004,Huevos,2,3.9,7.8,0.0,7.8,0.0
703,2026-04-18 10:01:24+00:00,2026-04-18T10:01:24Z,P007,Galletas,1,1.6,1.6,0.15,1.36,0.24
820,2026-04-18 10:02:34+00:00,2026-04-18T10:02:34Z,P004,Huevos,2,3.9,7.8,0.11,6.94,0.86
869,2026-04-18 10:03:52+00:00,2026-04-18T10:03:52Z,P004,Huevos,3,3.9,11.7,0.04,11.23,0.47
165,2026-04-18 10:04:36+00:00,2026-04-18T10:04:36Z,P001,Café,1,2.5,2.5,0.09,2.28,0.22
873,2026-04-18 10:06:02+00:00,2026-04-18T10:06:02Z,P003,Leche,1,1.8,1.8,0.19,1.46,0.34
1059,2026-04-18 10:06:04+00:00,2026-04-18T10:06:04Z,P008,Jugo,1,2.9,2.9,0.02,2.84,0.06
581,2026-04-18 10:06:43+00:00,2026-04-18T10:06:43Z,P003,Leche,4,1.8,7.2,0.16,6.05,1.15
848,2026-04-18 10:07:25+00:00,2026-04-18T10:07:25Z,P007,Galletas,4,1.6,6.4,0.09,5.82,0.58
235,2026-04-18 10:07:29+00:00,2026-04-18T10:07:29Z,P002,Pan,1,1.2,1.2,0.1,1.08,0.12
563,2026-04-18 10:07:59+00:00,2026-04-18T10:07:59Z,P004,Huevos,2,3.9,7.8,0.17,6.47,1.33
823,2026-04-18 10:08:06+00:00,2026-04-18T10:08:06Z,P007,Galletas,1,1.6,1.6,0.08,1.47,0.13
271,2026-04-18 10:08:35+00:00,2026-04-18T10:08:35Z,P001,Café,2,2.5,5.0,0.1,4.5,0.5
321,2026-04-18 10:08:42+00:00,2026-04-18T10:08:42Z,P002,Pan,2,1.2,2.4,0.14,2.06,0.34
251,2026-04-18 10:08:50+00:00,2026-04-18T10:08:50Z,P004,Huevos,1,3.9,3.9,0.2,3.12,0.78
269,2026-04-18 10:09:43+00:00,2026-04-18T10:09:43Z,P008,Jugo,1,2.9,2.9,0.07,2.7,0.2
67,2026-04-18 10:10:28+00:00,2026-04-18T10:10:28Z,P005,Arroz,2,2.1,4.2,0.17,3.49,0.71
788,2026-04-18 10:10:54+00:00,2026-04-18T10:10:54Z,P004,Huevos,3,3.9,11.7,0.14,10.06,1.64
363,2026-04-18 10:11:31+00:00,2026-04-18T10:11:31Z,P008,Jugo,1,2.9,2.9,0.13,2.52,0.38
483,2026-04-18 10:11:34+00:00,2026-04-18T10:11:34Z,P007,Galletas,1,1.6,1.6,0.08,1.47,0.13
995,2026-04-18 10:13:26+00:00,2026-04-18T10:13:26Z,P008,Jugo,1,2.9,2.9,0.07,2.7,0.2
992,2026-04-18 10:13:44+00:00,2026-04-18T10:13:44Z,P006,Queso,1,4.5,4.5,0.01,4.46,0.04
154,2026-04-18 10:15:19+00:00,2026-04-18T10:15:19Z,P006,Queso,1,4.5,4.5,0.03,4.36,0.14
913,2026-04-18 10:15:57+00:00,2026-04-18T10:15:57Z,P004,Huevos,4,3.9,15.6,0.01,15.44,0.16
862,2026-04-18 10:17:03+00:00,2026-04-18T10:17:03Z,P004,Huevos,2,3.9,7.8,0.15,6.63,1.17
797,2026-04-18 10:17:40+00:00,2026-04-18T10:17:40Z,P006,Queso,3,4.5,13.5,0.05,12.82,0.68
28,2026-04-18 10:18:27+00:00,2026-04-18T10:18:27Z,P003,Leche,1,1.8,1.8,0.03,1.75,0.05
1051,2026-04-18 10:18:29+00:00,2026-04-18T10:18:29Z,P003,Leche,3,1.8,5.4,0.02,5.29,0.11
298,2026-04-18 10:19:47+00:00,2026-04-18T10:19:47Z,P006,Queso,1,4.5,4.5,0.17,3.74,0.76
1199,2026-04-18 10:19:49+00:00,2026-04-18T10:19:49Z,P005,Arroz,1,2.1,2.1,0.17,1.74,0.36
1054,2026-04-18 10:20:20+00:00,2026-04-18T10:20:20Z,P005,Arroz,2,2.1,4.2,0.13,3.65,0.55
944,2026-04-18 10:20:27+00:00,2026-04-18T10:20:27Z,P003,Leche,1,1.8,1.8,0.06,1.69,0.11
766,2026-04-18 10:20:54+00:00,2026-04-18T10:20:54Z,P005,Arroz,1,2.1,2.1,0.05,2.0,0.1
559,2026-04-18 10:21:27+00:00,2026-04-18T10:21:27Z,P003,Leche,1,1.8,1.8,0.06,1.69,0.11
355,2026-04-18 10:21:52+00:00,2026-04-18T10:21:52Z,P003,Leche,3,1.8,5.4,0.09,4.91,0.49
793,2026-04-18 10:22:29+00:00,2026-04-18T10:22:29Z,P005,Arroz,1,2.1,2.1,0.03,2.04,0.06
8,2026-04-18 10:22:38+00:00,2026-04-18T10:22:38Z,P005,Arroz,3,2.1,6.3,0.09,5.73,0.57
853,2026-04-18 10:22:39+00:00,2026-04-18T10:22:39Z,P001,Café,3,2.5,7.5,0.05,7.12,0.38
107,2026-04-18 10:25:15+00:00,2026-04-18T10:25:15Z,P003,Leche,2,1.8,3.6,0.19,2.92,0.68
641,2026-04-18 10:27:20+00:00,2026-04-18T10:27:20Z,P003,Leche,1,1.8,1.8,0.19,1.46,0.34
1147,2026-04-18 10:27:49+00:00,2026-04-18T10:27:49Z,P003,Leche,2,1.8,3.6,0.11,3.2,0.4
871,2026-04-18 10:28:07+00:00,2026-04-18T10:28:07Z,P002,Pan,2,1.2,2.4,0.05,2.28,0.12
1039,2026-04-18 10:28:11+00:00,2026-04-18T10:28:11Z,P003,Leche,4,1.8,7.2,0.19,5.83,1.37
129,2026-04-18 10:29:20+00:00,2026-04-18T10:29:20Z,P006,Queso,2,4.5,9.0,0.06,8.46,0.54
455,2026-04-18 10:29:41+00:00,2026-04-18T10:29:41Z,P008,Jugo,3,2.9,8.7,0.07,8.09,0.61
532,2026-04-18 10:30:03+00:00,2026-04-18T10:30:03Z,P001,Café,2,2.5,5.0,0.0,5.0,0.0
453,2026-04-18 10:31:11+00:00,2026-04-18T10:31:11Z,P005,Arroz,3,2.1,6.3,0.08,5.8,0.5
739,2026-04-18 10:34:24+00:00,2026-04-18T10:34:24Z,P002,Pan,3,1.2,3.6,0.09,3.28,0.32
757,2026-04-18 10:34:26+00:00,2026-04-18T10:34:26Z,P004,Huevos,2,3.9,7.8,0.1,7.02,0.78
404,2026-04-18 10:35:06+00:00,2026-04-18T10:35:06Z,P006,Queso,1,4.5,4.5,0.04,4.32,0.18
1047,2026-04-18 10:35:59+00:00,2026-04-18T10:35:59Z,P005,Arroz,1,2.1,2.1,0.1,1.89,0.21
975,2026-04-18 10:36:40+00:00,2026-04-18T10:36:40Z,P001,Café,3,2.5,7.5,0.0,7.5,0.0
1010,2026-04-18 10:37:12+00:00,2026-04-18T10:37:12Z,P001,Café,2,2.5,5.0,0.05,4.75,0.25
964,2026-04-18 10:37:41+00:00,2026-04-18T10:37:41Z,P002,Pan,1,1.2,1.2,0.02,1.18,0.02
504,2026-04-18 10:38:38+00:00,2026-04-18T10:38:38Z,P001,Café,3,2.5,7.5,0.08,6.9,0.6
772,2026-04-18 10:39:38+00:00,2026-04-18T10:39:38Z,P007,Galletas,1,1.6,1.6,0.01,1.58,0.02
698,2026-04-18 10:40:41+00:00,2026-04-18T10:40:41Z,P002,Pan,2,1.2,2.4,0.0,2.4,0.0
655,2026-04-18 10:40:48+00:00,2026-04-18T10:40:48Z,P002,Pan,1,1.2,1.2,0.06,1.13,0.07
132,2026-04-18 10:41:04+00:00,2026-04-18T10:41:04Z,P001,Café,2,2.5,5.0,0.05,4.75,0.25
943,2026-04-18 10:42:19+00:00,2026-04-18T10:42:19Z,P003,Leche,2,1.8,3.6,0.12,3.17,0.43
